,t = 0,t = 0.05,t = 0.1,t = 0.2,t = 0.4
0.0,0.0,0.0,0.0,0.0,0.0
0.1,0.2,0.15318870389992165,0.09396561268051641,0.034968670856650556,0.004841844110861345
0.2,0.4,0.2920126814988285,0.1787401899170437,0.0665143654213792,0.009209734785040006
0.30000000000000004,0.6000000000000001,0.40299381757666847,0.24602662975841927,0.09154917146810071,0.012676112450463553
0.4,0.8,0.47476822089405335,0.28923293252179016,0.10762250707659772,0.01490166390956698
0.5,1.0,0.4996107959592542,0.3041220341574222,0.11316100122290032,0.01566853667920442
0.6000000000000001,0.7999999999999998,0.4747682208940533,0.28923293252179016,0.10762250707659773,0.014901663909566982
0.7000000000000001,0.5999999999999999,0.40299381757666836,0.2460266297584192,0.09154917146810072,0.012676112450463553
0.8,0.3999999999999999,0.29201268149882836,0.17874018991704366,0.06651436542137922,0.009209734785040006
0.9,0.19999999999999996,0.1531887038999216,0.09396561268051637,0.03496867085665056,0.004841844110861345
1.0,0.0,0.0,0.0,0.0,0.0
